Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
East New York,40.669925700847045,-73.88069863917366,Popeyes Louisiana Kitchen,40.666226,-73.882483,Fried Chicken Joint
East New York,40.669925700847045,-73.88069863917366,Caterina Pizza,40.66638294169508,-73.88333574100211,Pizza Place
East New York,40.669925700847045,-73.88069863917366,New Lots Ave Pedestrian Plaza,40.66624514967573,-73.8834691342827,Plaza
East New York,40.669925700847045,-73.88069863917366,Golden China,40.67139597361685,-73.88142074252401,Asian Restaurant
East New York,40.669925700847045,-73.88069863917366,Shepherd Guest House,40.671303,-73.879865,Event Service
East New York,40.669925700847045,-73.88069863917366,Isabel Foods,40.671095,-73.882649,Deli / Bodega
East New York,40.669925700847045,-73.88069863917366,F and F Wholesale Meat,40.670828,-73.876016,Food
East New York,40.669925700847045,-73.88069863917366,Crown Fried Chicken,40.666514,-73.88304000000001,Fast Food Restaurant
East New York,40.669925700847045,-73.88069863917366,Livonia Deli & Grocery,40.666539,-73.883374,Deli / Bodega
East New York,40.669925700847045,-73.88069863917366,New Beginning West Indian And American Cuisine,40.67315353790367,-73.87764082384443,Caribbean Restaurant
East New York,40.669925700847045,-73.88069863917366,la bona pizza,40.673632,-73.882814,Fast Food Restaurant
East New York,40.669925700847045,-73.88069863917366,Kareemation Music Studio,40.670821776504525,-73.87543850240264,Music Venue
East New York,40.669925700847045,-73.88069863917366,Lawrence Pharmacy,40.666258,-73.883263,Pharmacy
East New York,40.669925700847045,-73.88069863917366,MTA Subway - Shepherd Ave (A/C),40.674141475413066,-73.88077506705207,Metro Station
East New York,40.669925700847045,-73.88069863917366,Pitkin Express Deli,40.67390621131401,-73.88255039735513,Deli / Bodega
Borough Park,40.633130512758015,-73.99049823044811,Orchidea,40.636390000000006,-73.993899,American Restaurant
Borough Park,40.633130512758015,-73.99049823044811,Amnon's Pizza,40.63528768356099,-73.99192730400661,Pizza Place
Borough Park,40.633130512758015,-73.99049823044811,GoBo's,40.631559,-73.995199,Café
Borough Park,40.633130512758015,-73.99049823044811,Sub express,40.632764,-73.994078,Fast Food Restaurant
Borough Park,40.633130512758015,-73.99049823044811,Chase Bank,40.634778489400276,-73.99202138185501,Bank
Borough Park,40.633130512758015,-73.99049823044811,Chase Bank,40.635845,-73.991701,Bank
Borough Park,40.633130512758015,-73.99049823044811,Dagan Pizza & Dairy Restaurant,40.63126305944451,-73.98538657826741,Pizza Place
Borough Park,40.633130512758015,-73.99049823044811,1982 Coffee Roasters,40.631909,-73.994964,Coffee Shop
Borough Park,40.633130512758015,-73.99049823044811,Capital One Bank,40.636571,-73.990898,Bank
Borough Park,40.633130512758015,-73.99049823044811,Rite Aid,40.6338602,-73.9936444,Pharmacy
Borough Park,40.633130512758015,-73.99049823044811,Deli 52,40.633637,-73.99397900000001,Deli / Bodega
Borough Park,40.633130512758015,-73.99049823044811,TD Bank,40.63694948048493,-73.99044384063922,Bank
Borough Park,40.633130512758015,-73.99049823044811,Spoons,40.63436380019326,-73.9926243715797,Restaurant
Borough Park,40.633130512758015,-73.99049823044811,urbana,40.632779,-73.994112,Bistro
Borough Park,40.633130512758015,-73.99049823044811,Park House Hotel,40.636598,-73.99368100000001,Hotel
Borough Park,40.633130512758015,-73.99049823044811,Dips,40.63228,-73.99453299999999,Fast Food Restaurant
Borough Park,40.633130512758015,-73.99049823044811,Duane Reade,40.63184735626117,-73.98488938808447,Pharmacy
Borough Park,40.633130512758015,-73.99049823044811,G&G,40.63477989582273,-73.99490268482222,Men's Store
Borough Park,40.633130512758015,-73.99049823044811,Schnitzis,40.632642,-73.995471,Fast Food Restaurant
Borough Park,40.633130512758015,-73.99049823044811,Moti's,40.63010897068533,-73.98626804351805,Pizza Place
Borough Park,40.633130512758015,-73.99049823044811,Cracovia,40.631181,-73.995791,Deli / Bodega
Long Island City,40.75021734610528,-73.93920223915505,Chip,40.75006923486371,-73.94083142280579,Dessert Shop
Long Island City,40.75021734610528,-73.93920223915505,Etto Espresso Bar,40.74870263866801,-73.94068910937959,Coffee Shop
Long Island City,40.75021734610528,-73.93920223915505,Hilton Garden Inn,40.75021553477981,-73.93688589334488,Hotel
Long Island City,40.75021734610528,-73.93920223915505,The Baroness Bar,40.75158244595828,-73.93966444998067,Bar
Long Island City,40.75021734610528,-73.93920223915505,Waheyo,40.749947091373215,-73.93942677841457,Mexican Restaurant
Long Island City,40.75021734610528,-73.93920223915505,Dutch Kills,40.74783043428339,-73.94010843485533,Cocktail Bar
Long Island City,40.75021734610528,-73.93920223915505,JetBlue Support Center,40.75119156668621,-73.93835098854645,Office
Long Island City,40.75021734610528,-73.93920223915505,Baker House Market,40.75213718761477,-73.93923493977574,Convenience Store
Long Island City,40.75021734610528,-73.93920223915505,Brooklyn Boulders Queensbridge,40.752648978649546,-73.94001009018803,Climbing Gym
Long Island City,40.75021734610528,-73.93920223915505,Clever Blend Lic,40.750228255772456,-73.93960758219154,Coffee Shop
Long Island City,40.75021734610528,-73.93920223915505,Ice & Vice Pop-Up,40.747729754542306,-73.9410247840577,Ice Cream Shop
Long Island City,40.75021734610528,-73.93920223915505,The Beast Next Door Cafe & Bar,40.74892560515553,-73.94166005726373,Bar
Long Island City,40.75021734610528,-73.93920223915505,Indie,40.74889496653177,-73.94216174033207,Restaurant
Long Island City,40.75021734610528,-73.93920223915505,Olives Organic Market,40.749416461001225,-73.94050058774842,Deli / Bodega
Long Island City,40.75021734610528,-73.93920223915505,Courtyard Long Island City/New York Manhattan View,40.7500804,-73.9372262,Hotel
Long Island City,40.75021734610528,-73.93920223915505,Partners Coffee,40.7475693824323,-73.94145464282613,Coffee Shop
Long Island City,40.75021734610528,-73.93920223915505,Sweetleaf,40.74853679447502,-73.93878657878295,Coffee Shop
Long Island City,40.75021734610528,-73.93920223915505,Aloft Long Island City-Manhattan View,40.7482794,-73.9398239,Hotel
Long Island City,40.75021734610528,-73.93920223915505,Luzzo’s,40.7489493677965,-73.94221276016694,Pizza Place
Long Island City,40.75021734610528,-73.93920223915505,Levante,40.747517967937966,-73.94159008228058,Pizza Place
Long Island City,40.75021734610528,-73.93920223915505,Raj's Indian Kitchen,40.74997632892085,-73.93926056994543,Indian Restaurant
Long Island City,40.75021734610528,-73.93920223915505,RESOBOX,40.75103691709408,-73.93910170039331,Café
Long Island City,40.75021734610528,-73.93920223915505,Möge Tee,40.749792,-73.941389,Bubble Tea Shop
Long Island City,40.75021734610528,-73.93920223915505,Linc LIC Fitness Center,40.748921179159815,-73.94267946925865,Gym / Fitness Center
Long Island City,40.75021734610528,-73.93920223915505,Hyatt Place Long Island City / New York City,40.74815355897993,-73.94148383695553,Hotel
Long Island City,40.75021734610528,-73.93920223915505,Book Culture,40.747451074575785,-73.94204799529219,Bookstore
Long Island City,40.75021734610528,-73.93920223915505,Packard Cafe & Grill,40.751156423431155,-73.93993653131865,Café
Long Island City,40.75021734610528,-73.93920223915505,Food Cellar & Co.,40.748097396600215,-73.94278401315896,Supermarket
Long Island City,40.75021734610528,-73.93920223915505,Gordo's Cantina,40.751069128923255,-73.94071890915997,Mexican Restaurant
Long Island City,40.75021734610528,-73.93920223915505,Chipotle Mexican Grill,40.747227491157524,-73.94164881692888,Mexican Restaurant
