Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Louvre,48.8606,2.3376,Cour Carrée du Louvre,48.8603598795578,2.3385429382324214,Pedestrian Plaza
Louvre,48.8606,2.3376,Musée du Louvre,48.86084691113991,2.336440086364746,Art Museum
Louvre,48.8606,2.3376,La Vénus de Milo (Vénus de Milo),48.859943428504316,2.3372340202331543,Exhibit
Louvre,48.8606,2.3376,Cour Napoléon,48.86117159622847,2.3350882530212402,Plaza
Louvre,48.8606,2.3376,Pont des Arts,48.85856468168776,2.3376350104808807,Bridge
Louvre,48.8606,2.3376,Place du Palais Royal,48.862523381679345,2.336687635654229,Plaza
Louvre,48.8606,2.3376,모나리자 / 라 조콘다 (Mona Lisa | La Joconde),48.86013915274212,2.3353367567879104,Exhibit
Louvre,48.8606,2.3376,Place du Louvre,48.859841,2.340822,Plaza
Louvre,48.8606,2.3376,Le Fumoir,48.86042428799186,2.3408684134483337,Cocktail Bar
Louvre,48.8606,2.3376,Le Café Marly,48.8617397900653,2.335646152496338,Café
Louvre,48.8606,2.3376,Comédie-Française,48.863087901186134,2.336611747741699,Theater
Louvre,48.8606,2.3376,Palais Royal,48.86323576771446,2.3371267318725586,Historic Site
Louvre,48.8606,2.3376,Église Saint-Germain-l'Auxerrois (Église Saint-Germain l'Auxerrois),48.859519915404825,2.3413056135177612,Church
Louvre,48.8606,2.3376,Café Richelieu – Angelina,48.86148216260318,2.336456179618835,Café
Louvre,48.8606,2.3376,Vestige de la Forteresse du Louvre,48.86157701632968,2.3335077597365377,Historic Site
Louvre,48.8606,2.3376,Grand Hôtel du Palais Royal,48.86318291896972,2.3379009305339022,Hotel
Louvre,48.8606,2.3376,Carrousel du Louvre,48.861641527291056,2.3342170930602695,Shopping Mall
Louvre,48.8606,2.3376,La Régalade Saint-Honoré,48.861619829461404,2.3417487166534374,French Restaurant
Louvre,48.8606,2.3376,Christian Louboutin,48.86269669087095,2.3407570303733496,Shoe Store
Louvre,48.8606,2.3376,Le Nemours,48.863149659333565,2.3365500569343567,Café
Louvre,48.8606,2.3376,LouLou,48.86280381272633,2.333500385284424,Italian Restaurant
Louvre,48.8606,2.3376,"Pavillon des Sessions – Arts d'Afrique, d'Asie, d'Océanie et des Amériques",48.860724043718605,2.332121414307368,Art Museum
Louvre,48.8606,2.3376,La Clef Louvre Paris  ,48.86397721115658,2.336139678955078,Hotel
Louvre,48.8606,2.3376,Institut de France,48.85772224476004,2.337226779956019,Government Building
Louvre,48.8606,2.3376,Fromagerie Danard,48.86329738243539,2.340948006009366,Cheese Shop
Louvre,48.8606,2.3376,Les Arts Décoratifs,48.863077314067475,2.333393096923828,Art Museum
Louvre,48.8606,2.3376,Buly 1803,48.857146395868874,2.33503927183584,Cosmetics Shop
Louvre,48.8606,2.3376,Thémaé,48.8635893167855,2.339755524069546,Spa
Louvre,48.8606,2.3376,Guy Savoy,48.857085019941806,2.3388068135574938,French Restaurant
Louvre,48.8606,2.3376,Urban Outfitters,48.86065201199259,2.342109708573389,Clothing Store
Louvre,48.8606,2.3376,Café Ruc,48.863148225663146,2.3352277278900146,Coffee Shop
Louvre,48.8606,2.3376,Jardins du Carrousel (Jardin du Carrousel),48.86205640499456,2.3324446522511044,Garden
Louvre,48.8606,2.3376,Café Kitsuné,48.863982504620985,2.335793673992157,Coffee Shop
Louvre,48.8606,2.3376,Monnaie de Paris,48.85683338028305,2.3390582159751068,Museum
Louvre,48.8606,2.3376,Jardin du Palais Royal,48.86494061245833,2.3377275466918945,Garden
Louvre,48.8606,2.3376,Le Pot de Vins,48.86432169778438,2.3401925360185167,Restaurant
Louvre,48.8606,2.3376,Cafés Verlet,48.86408827729653,2.33387790620327,Café
Louvre,48.8606,2.3376,Kosyuen 華修園,48.864163247442406,2.3335674783429994,Tea Room
Louvre,48.8606,2.3376,Aesop,48.86415807641022,2.3336009265391215,Cosmetics Shop
Louvre,48.8606,2.3376,Café de la Comédie,48.86313584744163,2.335770472852391,Bar
Louvre,48.8606,2.3376,Astier de Villatte,48.86409488281954,2.33380824705502,Furniture / Home Store
Louvre,48.8606,2.3376,Le Louis,48.864330749172225,2.341332062576144,French Restaurant
Louvre,48.8606,2.3376,La Poule Au Pot,48.861806,2.343263,French Restaurant
Louvre,48.8606,2.3376,Le Labo Paris,48.86385890056086,2.333757938686111,Perfume Shop
Louvre,48.8606,2.3376,Louvre des Antiquaires,48.86250090946281,2.336287801061412,Antique Shop
Louvre,48.8606,2.3376,Acne Studios,48.858216219989195,2.332647556638424,Clothing Store
